date,om,rep,bag.mass,bag.cpom,cruc,cruc.mass,cruc.wet.sed,cruc.dry.sed,cruc.ash,cpom,sed,ash,prop.OM,prop.water
2014-05-30,sed,A,NA,NA,1,29.7378,41.0326,32.2244,31.9088,NA,2.4866,2.171,0.126920292769244,0.77984559266211
2014-05-30,sed,B,NA,NA,2,26.6517,38.0633,29.1841,28.8573,NA,2.5324,2.2056,0.129047543831939,0.778085456903502
2014-05-30,sed,C,NA,NA,3,28.0753,39.5898,30.6054,30.2828,NA,2.5301,2.2075,0.127504841705861,0.780268357288636
2014-05-30,sed,D,NA,NA,4,27.4867,39.0056,30.0275,29.7007,NA,2.5408,2.214,0.128620906801007,0.779423382441032
2014-05-30,sed,E,NA,NA,5,30.3799,42.0787,32.9646,32.6316,NA,2.5847,2.2517,0.128835067899562,0.779062809860841
2014-05-30,cpom,A,7.1597,8.6431,21,30.9983,NA,32.4642,31.191,1.4834,1.4659,0.192699999999999,0.868544921208815,NA
2014-05-30,cpom,B,7.2625,9.2051,22,26.9346,NA,28.8457,27.1423,1.9426,1.9111,0.207699999999999,0.89131913557637,NA
2014-05-30,cpom,C,7.2824,11.5849,23,28.813,NA,32.9767,29.4272,4.3025,4.1637,0.6142,0.852486970723155,NA
2014-05-30,cpom,D,7.3592,10.5602,24,29.395,NA,32.5144,29.8192,3.201,3.1194,0.424199999999999,0.864012310059627,NA
2014-06-03,leaf.disc,A,NA,NA,6,31.5145,NA,31.5169,31.5148,NA,0.00239999999999796,0.000299999999999301,0.875000000000185,NA
2014-06-03,leaf.disc,B,NA,NA,7,28.198,NA,28.2001,28.1981,NA,0.00209999999999866,9.99999999997669e-05,0.952380952381033,NA
2014-06-03,leaf.disc,C,NA,NA,8,28.9668,NA,28.9695,28.9672,NA,0.00270000000000081,0.000399999999999068,0.851851851852242,NA
2014-06-03,leaf.disc,D,NA,NA,9,27.0792,NA,27.0837,27.0797,NA,0.00450000000000017,0.000499999999998835,0.888888888889152,NA
2014-06-03,leaf.disc,E,NA,NA,10,29.7503,NA,29.7544,29.7508,NA,0.0041000000000011,0.000500000000002387,0.878048780487255,NA
