bod,day,CPOM,nutrient,E2E3,E4E6,elapsed.d
1,2014-06-10,yes,no,1.85333333333333,13,0
2,2014-06-10,no,yes,3.1304347826087,5.33333333333333,0
3,2014-06-10,no,no,2.35483870967742,10,0
4,2014-06-10,yes,yes,7.78571428571429,Inf,0
5,2014-06-10,no,no,4.3421052631579,5,0
6,2014-06-10,yes,no,11.6739130434783,54,0
7,2014-06-10,no,yes,6.33333333333333,5.5,0
8,2014-06-10,no,no,4,Inf,0
9,2014-06-10,no,no,4.16216216216216,4.5,0
10,2014-06-10,yes,yes,5.97849462365592,2.25,0
11,2014-06-10,yes,yes,3.51937984496124,3.66666666666667,0
12,2014-06-10,yes,no,1.96794871794872,4,0
13,2014-06-10,yes,no,17.4054054054054,6,0
14,2014-06-10,no,yes,8.25,3,0
15,2014-06-10,no,yes,6.15384615384615,-7,0
16,2014-06-10,yes,yes,21.1379310344828,9,0
1,2014-06-12,yes,no,4.30555555555556,1.5,2
2,2014-06-12,no,yes,3.33333333333333,2.66666666666667,2
3,2014-06-12,no,no,3.14516129032258,3.33333333333333,2
4,2014-06-12,yes,yes,6.88888888888889,2.25,2
5,2014-06-12,no,no,4.47058823529412,Inf,2
6,2014-06-12,yes,no,3.89393939393939,9,2
7,2014-06-12,no,yes,3.8,8.5,2
8,2014-06-12,no,no,3.45238095238095,-6.5,2
9,2014-06-12,no,no,4.24324324324324,3.33333333333333,2
10,2014-06-12,yes,yes,5.09677419354839,11,2
11,2014-06-12,yes,yes,8.67857142857143,Inf,2
12,2014-06-12,yes,no,19.6451612903226,27,2
13,2014-06-12,yes,no,3.89156626506024,1.57142857142857,2
14,2014-06-12,no,yes,6.2962962962963,Inf,2
15,2014-06-12,no,yes,4.31428571428571,9,2
16,2014-06-12,yes,yes,4.25806451612903,-6,2
1,2014-06-17,yes,no,5,-12,7
2,2014-06-17,no,yes,4.47222222222222,Inf,7
3,2014-06-17,no,no,9.375,4,7
4,2014-06-17,yes,yes,1.53636363636364,4.66666666666667,7
5,2014-06-17,no,no,3.67567567567568,Inf,7
6,2014-06-17,yes,no,4.73684210526316,3,7
7,2014-06-17,no,yes,2.9672131147541,3,7
8,2014-06-17,no,no,3.94285714285714,2.75,7
9,2014-06-17,no,no,3.23809523809524,14,7
10,2014-06-17,yes,yes,1.26543209876543,2.6,7
11,2014-06-17,yes,yes,5.21428571428571,1.25,7
12,2014-06-17,yes,no,4.65789473684211,19.6666666666667,7
13,2014-06-17,yes,no,4.20930232558139,35,7
14,2014-06-17,no,yes,3.39583333333333,3.5,7
15,2014-06-17,no,yes,4.65384615384615,10,7
16,2014-06-17,yes,yes,4.48648648648649,12,7
1,2014-06-24,yes,no,1.97202797202797,1.2,14
2,2014-06-24,no,yes,3.19565217391304,Inf,14
3,2014-06-24,no,no,3.70588235294118,1.5,14
4,2014-06-24,yes,yes,4.42857142857143,8,14
5,2014-06-24,no,no,4.6875,4.5,14
6,2014-06-24,yes,no,4.6875,3.25,14
7,2014-06-24,no,yes,2.77272727272727,4.33333333333333,14
8,2014-06-24,no,no,3.60526315789474,5,14
9,2014-06-24,no,no,4.82352941176471,4,14
10,2014-06-24,yes,yes,3.87755102040816,11.6,14
11,2014-06-24,yes,yes,4.51515151515151,2.5,14
12,2014-06-24,yes,no,1.84615384615385,3.33333333333333,14
13,2014-06-24,yes,no,0.87431693989071,4,14
14,2014-06-24,no,yes,2.3265306122449,Inf,14
15,2014-06-24,no,yes,2.8974358974359,3,14
16,2014-06-24,yes,yes,1.84415584415584,9,14
1,2014-07-01,yes,no,18.6428571428571,24,21
2,2014-07-01,no,yes,3.19565217391304,Inf,21
3,2014-07-01,no,no,2.57446808510638,-11,21
4,2014-07-01,yes,yes,4.42424242424242,9.5,21
5,2014-07-01,no,no,3.72222222222222,-11,21
6,2014-07-01,yes,no,1.06451612903226,10.5,21
7,2014-07-01,no,yes,3.11764705882353,Inf,21
8,2014-07-01,no,no,4,7,21
9,2014-07-01,no,no,3.39473684210526,Inf,21
10,2014-07-01,yes,yes,4.3469387755102,30,21
11,2014-07-01,yes,yes,2.27586206896552,-47,21
12,2014-07-01,yes,no,4.73333333333333,1.75,21
13,2014-07-01,yes,no,4.79310344827586,9.33333333333333,21
14,2014-07-01,no,yes,2.47619047619048,Inf,21
15,2014-07-01,no,yes,4.1,3,21
16,2014-07-01,yes,yes,1.55135135135135,8.75,21
