samp_code,bod,CPOM,nutrients,samp,samp_AFDM,ml_MeOH,pk_area,ergo_conc,ergo_samp,fungal_mass,ergo_per_OM,fungal_mass_per_OM
L1,1,Y,N,leaf,0.0072,1,413882,1.467377755,1.467377755,0.266795956,203.802466,37.05499383
L2,2,N,Y,leaf,NA,NA,NA,NA,NA,NA,NA,NA
L3,3,N,N,leaf,NA,NA,NA,NA,NA,NA,NA,NA
L4,4,Y,Y,leaf,0.0088,1,283767,1.006231932,1.006231932,0.18295126,114.3445378,20.78991596
L5,5,N,N,leaf,NA,NA,NA,NA,NA,NA,NA,NA
L6,6,Y,N,leaf,0.0068,1,311825,1.105673423,1.105673423,0.201031531,162.5990328,29.5634605
L7,7,N,Y,leaf,NA,NA,NA,NA,NA,NA,NA,NA
L8,8,N,N,leaf,NA,NA,NA,NA,NA,NA,NA,NA
L9,9,N,N,leaf,NA,NA,NA,NA,NA,NA,NA,NA
L10,10,Y,Y,leaf,0.004,1,133035,0.472016568,0.472016568,0.085821194,118.0041419,21.45529853
L11,11,Y,Y,leaf,0.006,1,203631,0.722218701,0.722218701,0.131312491,120.3697834,21.88541517
L12,12,Y,N,leaf,0.0084,1,184768,0.655365581,0.655365581,0.119157378,78.01971202,14.18540218
L13,13,Y,N,leaf,0.0088,1,180805,0.641320153,0.641320153,0.116603664,72.87729008,13.25041638
L14,14,N,Y,leaf,NA,NA,NA,NA,NA,NA,NA,NA
L15,15,N,Y,leaf,NA,NA,NA,NA,NA,NA,NA,NA
L16,16,Y,Y,leaf,0.0068,1,358509,1.271128071,1.271128071,0.231114195,186.9305987,33.98738159
S1,1,Y,N,sed,0.0204,1,353370,1.252914734,1.252914734,0.227802679,61.41738892,11.16679799
S2,2,N,Y,sed,0.0237,1,391878,1.389392491,1.389392491,0.252616817,58.62415574,10.65893741
S3,3,N,N,sed,0.0264,1,428377,1.51875007,1.51875007,0.276136376,57.52841174,10.45971123
S4,4,Y,Y,sed,0.0328,1,376350,1.334359079,1.334359079,0.242610742,40.68167925,7.396668955
S5,5,N,N,sed,0.0219,1,423519,1.501532636,1.501532636,0.273005934,68.56313407,12.46602438
S6,6,Y,N,sed,0.0261,1,345889,1.22640102,1.22640102,0.222982004,46.98854483,8.543371787
S7,7,N,Y,sed,0.021,1,376092,1.333444691,1.333444691,0.242444489,63.49736625,11.54497568
S8,8,N,N,sed,0.0299,1,391394,1.387677127,1.387677127,0.252304932,46.41060626,8.438292047
S9,9,N,N,sed,0.0228,1,355669,1.261062713,1.261062713,0.22928413,55.3097681,10.05632147
S10,10,Y,Y,sed,0.03,1,330141,1.170587898,1.170587898,0.212834163,39.01959659,7.094472106
S11,11,Y,Y,sed,0.0227,1,418208,1.482709707,1.482709707,0.269583583,65.31760822,11.87592877
S12,12,Y,N,sed,0.0205,1,351243,1.245376347,1.245376347,0.226432063,60.75006573,11.0454665
S13,13,Y,N,sed,0.0221,1,387427,1.373617522,1.373617522,0.24974864,62.15463902,11.30084346
S14,14,N,Y,sed,0.0239,1,398446,1.412670405,1.412670405,0.256849165,59.10754832,10.74682697
S15,15,N,Y,sed,0.0228,1,325515,1.154192704,1.154192704,0.209853219,50.62248703,9.204088551
S16,16,Y,Y,sed,0.024,1,402976,1.428725361,1.428725361,0.259768247,59.53022336,10.82367698
