bod,day,CPOM,nutrient,ratio254,elapsed.d
1,2014-06-10,yes,no,6.65333333333333,0
2,2014-06-10,no,yes,3,0
3,2014-06-10,no,no,2.29032258064516,0
4,2014-06-10,yes,yes,7.32142857142857,0
5,2014-06-10,no,no,4.18421052631579,0
6,2014-06-10,yes,no,11.0869565217391,0
7,2014-06-10,no,yes,6.06060606060606,0
8,2014-06-10,no,no,3.83333333333333,0
9,2014-06-10,no,no,4.32432432432432,0
10,2014-06-10,yes,yes,5.70967741935484,0
11,2014-06-10,yes,yes,3.35658914728682,0
12,2014-06-10,yes,no,3.73717948717949,0
13,2014-06-10,yes,no,16.5675675675676,0
14,2014-06-10,no,yes,7.9,0
15,2014-06-10,no,yes,5.92307692307692,0
16,2014-06-10,yes,yes,20.1034482758621,0
1,2014-06-12,yes,no,7.55555555555556,2
2,2014-06-12,no,yes,3.19607843137255,2
3,2014-06-12,no,no,3.06451612903226,2
4,2014-06-12,yes,yes,6.72222222222222,2
5,2014-06-12,no,no,4.32352941176471,2
6,2014-06-12,yes,no,3.81818181818182,2
7,2014-06-12,no,yes,5.02857142857143,2
8,2014-06-12,no,no,3.78571428571429,2
9,2014-06-12,no,no,4.13513513513514,2
10,2014-06-12,yes,yes,4.95161290322581,2
11,2014-06-12,yes,yes,8.42857142857143,2
12,2014-06-12,yes,no,9.51612903225806,2
13,2014-06-12,yes,no,3.78313253012048,2
14,2014-06-12,no,yes,6.11111111111111,2
15,2014-06-12,no,yes,4.14285714285714,2
16,2014-06-12,yes,yes,8.93548387096774,2
1,2014-06-17,yes,no,4.79411764705882,7
2,2014-06-17,no,yes,4.36111111111111,7
3,2014-06-17,no,no,9.1875,7
4,2014-06-17,yes,yes,1.49090909090909,7
5,2014-06-17,no,no,3.54054054054054,7
6,2014-06-17,yes,no,4.60526315789474,7
7,2014-06-17,no,yes,2.14754098360656,7
8,2014-06-17,no,no,3.82857142857143,7
9,2014-06-17,no,no,3.14285714285714,7
10,2014-06-17,yes,yes,1.20987654320988,7
11,2014-06-17,yes,yes,5,7
12,2014-06-17,yes,no,4.47368421052632,7
13,2014-06-17,yes,no,4.09302325581395,7
14,2014-06-17,no,yes,3.33333333333333,7
15,2014-06-17,no,yes,4.57692307692308,7
16,2014-06-17,yes,yes,4.35135135135135,7
1,2014-06-24,yes,no,1.04195804195804,14
2,2014-06-24,no,yes,3.08695652173913,14
3,2014-06-24,no,no,3.52941176470588,14
4,2014-06-24,yes,yes,4.2,14
5,2014-06-24,no,no,4.46875,14
6,2014-06-24,yes,no,4.46875,14
7,2014-06-24,no,yes,2.65909090909091,14
8,2014-06-24,no,no,3.47368421052632,14
9,2014-06-24,no,no,4.29411764705882,14
10,2014-06-24,yes,yes,3.71428571428571,14
11,2014-06-24,yes,yes,4.27272727272727,14
12,2014-06-24,yes,no,1.74358974358974,14
13,2014-06-24,yes,no,0.841530054644809,14
14,2014-06-24,no,yes,2.24489795918367,14
15,2014-06-24,no,yes,2.74358974358974,14
16,2014-06-24,yes,yes,1.77922077922078,14
1,2014-07-01,yes,no,4.82142857142857,21
2,2014-07-01,no,yes,3.1304347826087,21
3,2014-07-01,no,no,2.46808510638298,21
4,2014-07-01,yes,yes,4.3030303030303,21
5,2014-07-01,no,no,3.61111111111111,21
6,2014-07-01,yes,no,1.03870967741935,21
7,2014-07-01,no,yes,3.07843137254902,21
8,2014-07-01,no,no,3.46341463414634,21
9,2014-07-01,no,no,3.34210526315789,21
10,2014-07-01,yes,yes,4.22448979591837,21
11,2014-07-01,yes,yes,2.24137931034483,21
12,2014-07-01,yes,no,4.56666666666667,21
13,2014-07-01,yes,no,4.62068965517241,21
14,2014-07-01,no,yes,2.45238095238095,21
15,2014-07-01,no,yes,4,21
16,2014-07-01,yes,yes,0.697297297297297,21
