bod CPOM Nutrient elapsed.d spec275.slope spec350.slope s.ratio
1 yes no 2 -0.0129826779089285 -0.01249999034969 1.03861503455084
1 yes no 7 -0.0152899816512573 -0.0168664642517966 0.906531530437902
1 yes no 0 -0.0146224081325516 -0.0115753130201097 1.26324083911581
1 yes no 21 -0.0153648856095394 -0.0164008978396849 0.93683198076884
1 yes no 14 -0.0142965087930751 -0.0131949048434001 1.08348707040703
2 no yes 0 -0.0150894104566198 -0.0146336361462526 1.03114566371694
2 no yes 2 -0.0131398595135427 -0.0142270593036061 0.92358225499293
2 no yes 7 -0.0119609112955626 -0.012188812893815 0.98130239587416
2 no yes 14 -0.0114466302348405 -0.011483238653658 0.996812012715092
2 no yes 21 -0.0122348155873923 -0.011320233801687 1.08079177530494
3 no no 21 -0.0137991753972769 -0.0130087650588573 1.06075982884182
3 no no 2 -0.0116258214588439 -0.0120074508990547 0.968217280801798
3 no no 14 -0.0133825473445762 -0.0127100571590693 1.05291008349455
3 no no 7 -0.0123490532265739 -0.0115735228309042 1.06700901765182
3 no no 0 -0.0167533408447051 -0.0182956024722742 0.915703151623114
4 yes yes 0 -0.0145069627258645 -0.0124077386681679 1.16918667565768
4 yes yes 21 -0.0142002341622014 -0.0141914425750879 1.0006194991853
4 yes yes 2 -0.0142608010620616 -0.0139820134410278 1.01993901824009
4 yes yes 7 -0.0152312784737533 -0.0157838383249073 0.964992048209082
4 yes yes 14 -0.0141390944217348 -0.013334632478903 1.06032876752356
5 no no 2 -0.0141980620976196 -0.014099255049571 1.00700796231441
5 no no 7 -0.0139545767768942 -0.0133395914206324 1.04610226332049
5 no no 14 -0.0145591759186699 -0.0144036464200579 1.01079792533614
5 no no 0 -0.0154359455046064 -0.0154219288693414 1.00090887692349
5 no no 21 -0.0132258142035906 -0.0130522917527992 1.01329440485072
6 yes no 7 -0.0151483471854175 -0.0153828386658744 0.984756293324649
6 yes no 2 -0.0133747868218616 -0.0130547668035579 1.02451365260821
6 yes no 14 -0.0145591759186699 -0.0144036464200579 1.01079792533614
6 yes no 0 -0.0136406677179996 -0.011275096642123 1.20980494899166
6 yes no 21 -0.0130873316274866 -0.0126414384107344 1.03527234815095
7 no yes 7 -0.0133806313726269 -0.0134367379932899 0.99582438679008
7 no yes 14 -0.0131896177672073 -0.0114928081781622 1.14764099102161
7 no yes 2 -0.0123763672447791 -0.012762214494421 0.969766434358978
7 no yes 21 -0.0118416696364178 -0.0146019340789504 0.8109658331829
7 no yes 0 -0.0130695811083502 -0.0135441996416938 0.964957801427958
8 no no 21 -0.0127427174515138 -0.0125251905252918 1.01736715507703
8 no no 0 -0.0141346259160639 -0.0153467948579902 0.921014846869142
8 no no 14 -0.0127516419850169 -0.0117582889328981 1.08448108885465
8 no no 2 -0.0131374749749114 -0.0132911521829708 0.988437630843146
8 no no 7 -0.0135205273763131 -0.0137818988997042 0.981035158849067
9 no no 2 -0.0137156987307332 -0.0153547279270133 0.8932557317804
9 no no 21 -0.0138213391283957 -0.0129471338458067 1.06752114352106
9 no no 0 -0.0143011664897918 -0.0139940511886835 1.02194613246496
9 no no 14 -0.0148046530604786 -0.0123955278065719 1.19435439067221
9 no no 7 -0.0134899259691443 -0.0127342257361315 1.05934402677255
10 yes yes 0 -0.0131971041997119 -0.0114367976294818 1.15391603727361
10 yes yes 14 -0.0130366443568008 -0.0126214298031286 1.03289758451687
10 yes yes 2 -0.0122660618003278 -0.0116153083157739 1.05602550245439
10 yes yes 7 -0.0138045159507735 -0.0146588605463447 0.941718212485194
10 yes yes 21 -0.0123912543261428 -0.0114698212168475 1.0803354378307
11 yes yes 21 -0.0149209259787504 -0.0159575425323619 0.935039085654372
11 yes yes 7 -0.015615588739647 -0.0168719726844564 0.925534259193836
11 yes yes 0 -0.014055862260221 -0.0108717847431819 1.29287532748806
11 yes yes 2 -0.0141198839271148 -0.0132662678640981 1.06434485356102
11 yes yes 14 -0.0143036180046262 -0.0135236175511932 1.05767690859937
12 yes no 14 -0.014879349720934 -0.0150973134947293 0.985562744400094
12 yes no 2 -0.0128737732075903 -0.0124491439359173 1.03410911415747
12 yes no 7 -0.0152340480809745 -0.0143270889806676 1.06330379475766
12 yes no 0 -0.0170000041172318 -0.0114944828609619 1.47897076561556
12 yes no 21 -0.0147898085187403 -0.0145699939762808 1.01508679707194
13 yes no 21 -0.0145364775917931 -0.0147706516708878 0.984145988659643
13 yes no 2 -0.0123590872037687 -0.0131559654522379 0.939428371763192
13 yes no 0 -0.0134851916871658 -0.0114570580311582 1.17702045765081
13 yes no 14 -0.0138951731503357 -0.0138565202132949 1.00278951255047
13 yes no 7 -0.0137632113391388 -0.0138934460771745 0.990626174578124
14 no yes 0 -0.0144688912915874 -0.0144225303785328 1.00321447844711
14 no yes 7 -0.0122318210508363 -0.0115634471524714 1.05780057534331
14 no yes 14 -0.0137048362984471 -0.0140935528090804 0.972418841728624
14 no yes 21 -0.0157979864548421 -0.0159826645900082 0.988445097241078
14 no yes 2 -0.0128149893399024 -0.0129900421186247 0.986524079204385
15 no yes 0 -0.0147538996712328 -0.0154078635897351 0.95755648311048
15 no yes 7 -0.0151721675954546 -0.0159727451430088 0.949878524925652
15 no yes 14 -0.013567545211225 -0.0134730430072659 1.00701416924952
15 no yes 21 -0.0143674084615216 -0.0136802701380622 1.05022841775234
15 no yes 2 -0.0143048460023423 -0.0139489240531551 1.02551608624657
16 yes yes 2 -0.0125730405653597 -0.0130140299318139 0.966114311342094
16 yes yes 14 -0.0145967582641347 -0.0147583270268315 0.989052366003069
16 yes yes 21 -0.0148454558802438 -0.0154393926568401 0.961531078987542
16 yes yes 7 -0.0146952117623647 -0.0159767825543794 0.919785426906033
16 yes yes 0 -0.0125995832096038 -0.0109382029531786 1.15188786161098
