bod,CPOM,nutrient,temp,DO.T0,DO.TF,dDO,waterR,date,days.elap
5,no,no,25,0.136352468397921,0.203151293546494,-0.0667988251485731,-0.00273952803070019,2014-06-11,0
8,no,no,25,0.148537328482289,0.232880192737552,-0.0843428642552634,-0.00348044831864911,2014-06-11,0
6,yes,no,25,0.0632672616567416,0.0304691342520724,0.0327981274046692,0.00136185996143955,2014-06-11,0
12,yes,no,25,0.0659195763216065,0.00763225249115485,0.0582873238304516,0.00244050204454089,2014-06-11,0
13,yes,no,25,0.0438274991519747,0.0257132853732598,0.0181142137787149,0.000763775703951438,2014-06-11,0
1,yes,no,25,0.061873820119363,0.022531015683401,0.039342804435962,0.00166589150752133,2014-06-11,0
3,no,no,25,0.151335729056822,0.213802550589534,-0.0624668215327116,-0.00266193841758714,2014-06-11,0
9,no,no,25,0.137613158059522,0.200279383629673,-0.0626662255701507,-0.00268377839700859,2014-06-11,0
16,yes,yes,25,0.046647306992119,0.00991496862251569,0.0367323383696033,0.00159014451816465,2014-06-11,0
7,no,yes,25,0.172224709274319,0.215900138993745,-0.043675429719426,-0.00190030876226654,2014-06-11,0
10,yes,yes,25,0.0598685954795432,0.0221150132826376,0.0377535821969056,0.00165103129140986,2014-06-11,0
11,yes,yes,25,0.0786068281969986,0.0141248388562438,0.0644819893407548,0.00283853217934357,2014-06-11,0
2,no,yes,25,0.146382258362881,0.204145477680115,-0.0577632193172338,-0.00255401117099044,2014-06-11,0
4,yes,yes,25,0.0689288308169969,0.0188327794600455,0.0500960513569514,0.00222319754542684,2014-06-11,0
14,no,yes,25,0.152589143737183,0.184192272044889,-0.0316031283077058,-0.00141190446646489,2014-06-11,0
15,no,yes,25,0.17277269831957,0.246273493093098,-0.0735007947735281,-0.003298464986097,2014-06-11,0
9,no,no,24.7,0.269892756405952,0.243972658856938,0.0259200975490142,0.00109137252837954,2014-06-13,2
12,yes,no,24.7,0.146698742092548,0.107069433533926,0.0396293085586224,0.00167683957229714,2014-06-13,2
5,no,no,24.7,0.225200820626394,0.222862545283671,0.00233827534272293,9.9571696638308e-05,2014-06-13,2
6,yes,no,24.7,0.17002684482246,0.146200010246862,0.0238268345755979,0.00102115005323991,2014-06-13,2
8,no,no,24.7,0.215717866623641,0.200014160672118,0.0157037059515226,0.000676397959146701,2014-06-13,2
1,yes,no,24.7,0.186849604385295,0.145943661600425,0.0409059427848701,0.00177082003397706,2014-06-13,2
13,yes,no,24.7,0.16369175285571,0.162946928422321,0.000744824433389302,3.24306719908259e-05,2014-06-13,2
3,no,no,24.7,0.268668565737691,0.248069804564969,0.0205987611727217,0.000902135525812629,2014-06-13,2
16,yes,yes,24.7,0.162986151520642,0.128062812774784,0.0349233387458579,0.00154642090387563,2014-06-13,2
10,yes,yes,24.7,0.16597582296541,0.130665466720123,0.0353103562452871,0.0015693491664572,2014-06-13,2
7,no,yes,24.7,0.203453992786612,0.186964107494417,0.0164898852921947,0.00073615559340155,2014-06-13,2
15,no,yes,24.7,0.246281400411268,0.216567229472699,0.0297141709385687,0.00133247403311967,2014-06-13,2
11,yes,yes,24.7,0.181632814950746,0.134876602512321,0.0467562124384253,0.00210613569542456,2014-06-13,2
14,no,yes,24.7,NA,0.293623169819632,NA,NA,2014-06-13,2
2,no,yes,24.7,0.295135309106567,0.300130003724444,-0.0049946946178766,-0.000227031573539846,2014-06-13,2
4,yes,yes,24.7,0.17711312212842,0.153354898432302,0.023758223696118,0.00108485039708301,2014-06-13,2
3,no,no,25.3,0.216057675632945,0.203498647427226,0.0125590282057191,0.000516124446810374,2014-06-18,7
5,no,no,25.3,0.207485759921914,0.198405770726872,0.00907998919504163,0.000375723690829309,2014-06-18,7
9,no,no,25.3,0.212108854946327,0.17085222852085,0.0412566264254769,0.00171545224222357,2014-06-18,7
12,yes,no,25.3,0.177321340004791,0.179099230601634,-0.00177789059684341,-7.41302542116781e-05,2014-06-18,7
6,yes,no,25.3,0.198103702083344,0.17735225854728,0.020751443536064,0.00087374499099217,2014-06-18,7
