sod.bod,sod.treat,DOmmol.T0,DOmmol.TF
1,L,0.154750263192179,0.146799907858428
2,L,0.164865390755409,0.114044053461101
3,L,0.131387880187271,0.114847093138275
4,L,0.13972118272626,0.147678462553013
5,LS,0.155144967808488,0.0816531890998465
6,LS,0.130763341762518,0.0980718716856879
7,LS,0.114819965016146,0.114392544906663
8,S,0.131075101652661,0.105485201785011
9,S,0.156329465842372,0.106438060074029
10,LS,0.180435565602614,0.090913623989846
11,S,0.139841029862223,0.098924043656081
12,S,0.155417358120537,0.155583363710135
