bod250,day250,treat250,E2E3.a,E4E6.a
1,2015-09-22,L,4.76923076923077,Inf
1,2015-10-01,L,4.56818181818182,4.8
1,2015-09-24,L,2.5,-10
1,2015-10-08,L,6.52631578947368,7.33333333333333
1,2015-11-05,L,4.09523809523809,11
1,2015-10-22,L,4,Inf
2,2015-10-08,L,6,4.5
2,2015-10-01,L,3.94230769230769,-16
2,2015-11-05,L,4.6304347826087,-12
2,2015-09-24,L,4.69230769230769,7.5
2,2015-09-22,L,3.1864406779661,3.33333333333333
2,2015-10-22,L,4.8125,6.33333333333333
3,2015-09-24,L,4.19607843137255,-9
3,2015-10-22,L,4.26666666666667,3.75
3,2015-10-01,L,4.59574468085106,4.33333333333333
3,2015-11-05,L,4.2,6
3,2015-10-08,L,4.91489361702128,7
3,2015-09-22,L,3.2,Inf
4,2015-10-08,L,4,Inf
4,2015-10-01,L,4.61363636363636,10.5
4,2015-11-05,L,5.25,2.5
4,2015-10-22,L,3.78260869565217,-12
4,2015-09-24,L,4.40909090909091,13
4,2015-09-22,L,3.71698113207547,5.66666666666667
5,2015-10-22,LS,3.95121951219512,-13
5,2015-09-22,LS,3.75471698113208,16
5,2015-09-24,LS,4.36170212765957,8.5
5,2015-11-05,LS,2.55737704918033,2.83333333333333
5,2015-10-01,LS,5.45238095238095,5.5
5,2015-10-08,LS,3.14285714285714,14
6,2015-09-24,LS,4.08510638297872,Inf
6,2015-10-22,LS,4.71428571428571,2
6,2015-10-01,LS,4.23809523809524,12
6,2015-11-05,LS,3.28571428571429,22
6,2015-10-08,LS,3.65789473684211,2.6
6,2015-09-22,LS,4.14285714285714,7.5
7,2015-11-05,LS,4.14583333333333,Inf
7,2015-10-22,LS,4.13333333333333,-13
7,2015-10-08,LS,3.48979591836735,-8
7,2015-09-22,LS,5.63888888888889,2
7,2015-09-24,LS,3.8,4.4
7,2015-10-01,LS,2.63934426229508,7.5
8,2015-09-22,S,3.67567567567568,-14
8,2015-09-24,S,5.79310344827586,Inf
8,2015-10-22,S,3.36363636363636,1.5
8,2015-10-01,S,4.7,8.5
8,2015-11-05,S,3.37209302325581,0.666666666666667
8,2015-10-08,S,2.77049180327869,24
9,2015-09-22,S,4.02439024390244,-7
9,2015-10-22,S,5.46153846153846,1
9,2015-10-08,S,3.91428571428571,-3.66666666666667
9,2015-10-01,S,4.30555555555556,3
9,2015-09-24,S,3.56756756756757,7
9,2015-11-05,S,3.74285714285714,-8
10,2015-10-22,LS,3.625,Inf
10,2015-09-22,LS,3.72727272727273,Inf
10,2015-11-05,LS,3.74,Inf
10,2015-09-24,LS,4,1.8
10,2015-10-01,LS,4.52631578947368,Inf
10,2015-10-08,LS,3.94444444444444,3.33333333333333
11,2015-09-22,S,4.43243243243243,-2.66666666666667
11,2015-09-24,S,4.71875,3.5
11,2015-10-22,S,3.90625,12
11,2015-10-01,S,4.1219512195122,8
11,2015-11-05,S,2.74468085106383,8
11,2015-10-08,S,3.87179487179487,5.66666666666667
12,2015-10-22,S,4.11111111111111,Inf
12,2015-10-08,S,3.67741935483871,-3
12,2015-09-22,S,5.32258064516129,Inf
12,2015-09-24,S,4.67741935483871,-9
12,2015-10-01,S,4.88888888888889,-2
12,2015-11-05,S,3.41666666666667,3.75
