bod,vialT0,vialTF,temp,pressure,A,time0,timeF,RmeasT0,RmeasTF,Replvol
1,1,15,21,30.49,0.0028,2016-02-18 09:45,2016-02-18 19:47,0.795,0.55,55
6,2,16,21,30.49,0.0028,2016-02-18 09:50,2016-02-18 19:50,0.8,0.7,53
7,3,17,21,30.49,0.0028,2016-02-18 09:54,2016-02-18 19:52,0.85,0.600000000000001,54
5,4,18,21,30.49,0.0028,2016-02-18 09:56,2016-02-18 19:55,0.9,0.699999999999999,46
2,5,19,21,30.49,0.0028,2016-02-18 10:00,2016-02-18 19:57,0.8,0.550000000000001,53
8,6,20,21,30.49,0.0028,2016-02-18 10:05,2016-02-18 20:00,0.800000000000001,0.6,53
4,7,21,21,30.49,0.0028,2016-02-18 10:09,2016-02-18 20:02,0.8,0.6,54
10,8,22,21,30.49,0.0028,2016-02-18 10:12,2016-02-18 20:05,0.805000000000001,0.7,53
3,9,23,21,30.49,0.0028,2016-02-18 10:17,2016-02-18 20:07,0.795,0.6,55
9,10,24,21,30.49,0.0028,2016-02-18 10:21,2016-02-18 20:09,0.805,0.7,54
