bod,vialT0,vialTF,temp,pressure,A,time0,timeF,RmeasT0,RmeasTF,Replvol
7,1,4,24,30,0.0028,2015-10-08 09:27,2015-10-08 16:12,0.65,0.75,36
2,40,40,24,30,0.0028,2015-10-08 09:31,2015-10-08 16:16,0.7,0.5,36
4,27,29,24,30,0.0028,2015-10-08 09:36,2015-10-08 16:20,0.75,0.75,38
9,11,34,24,30,0.0028,2015-10-08 09:41,2015-10-08 16:22,0.7,0.3,40
3,18,11,24,30,0.0028,2015-10-08 09:45,2015-10-08 16:24,0.725000000000001,1.15,36
12,38,38,24,30,0.0028,2015-10-08 09:49,2015-10-08 16:26,0.675,0.7,35
11,28,8,24,30,0.0028,2015-10-08 09:54,2015-10-08 16:28,0.65,0.9,35
8,14,27,24,30,0.0028,2015-10-08 09:57,2015-10-08 16:30,0.6025,0.8,36
5,4,18,24,30,0.0028,2015-10-08 10:01,2015-10-08 16:32,0.597499999999999,0.550000000000001,42
6,34,1,24,30,0.0028,2015-10-08 10:05,2015-10-08 16:34,0.65,0.549999999999999,37
10,29,28,24,30,0.0028,2015-10-08 10:11,2015-10-08 16:36,0.625,0.700000000000001,36
1,8,14,24,30,0.0028,2015-10-08 10:15,2015-10-08 16:38,0.725,0.649999999999999,38
