bod,vialT0,vialTF,temp,pressure,A,time0,timeF,RmeasT0,RmeasTF,Replvol
3,4,36,23.5,30.29,0.0028,2015-10-22 09:36,2015-10-22 19:12,0.875,0.7,63
4,10,30,23.5,30.29,0.0028,2015-10-22 09:42,2015-10-22 19:15,0.775,0.9,60
7,19,39,23.5,30.29,0.0028,2015-10-22 09:46,2015-10-22 19:17,NA,0.8,60
12,28,37,23.5,30.29,0.0028,2015-10-22 09:55,2015-10-22 19:20,NA,0.649999999999999,60
9,1,15,23.5,30.29,0.0028,2015-10-22 09:58,2015-10-22 19:22,0.7,0.7,55
2,34,12,23.5,30.29,0.0028,2015-10-22 10:00,2015-10-22 19:23,0.75,0.9,62
8,3,25,23.5,30.29,0.0028,2015-10-22 10:07,2015-10-22 19:25,0.699999999999999,1,55
6,24,26,23.5,30.29,0.0028,2015-10-22 10:12,2015-10-22 19:27,0.7,0.6,60
11,18,9,23.5,30.29,0.0028,2015-10-22 10:15,2015-10-22 19:28,0.7,0.850000000000001,60
1,21,33,23.5,30.29,0.0028,2015-10-22 10:20,2015-10-22 19:30,0.75,-1.65,60
5,14,13,23.5,30.29,0.0028,2015-10-22 10:25,2015-10-22 19:32,0.625,0.75,56
10,23,5,23.5,30.29,0.0028,2015-10-22 10:31,2015-10-22 19:36,0.7,0.4,60
