bod,vialT0,vialTF,temp,pressure,A,time0,timeF,RmeasT0,RmeasTF,Replvol
11,37,19,24.5,767,0.0028,2015-09-24 09:22,2015-09-22 16:15,0.7,0.7,39
6,6,29,24.5,767,0.0028,2015-09-24 09:24,2015-09-22 16:17,0.7,0.8,54
8,7,26,24.5,767,0.0028,2015-09-24 09:40,2015-09-22 16:19,0.65,0.6,36
3,20,33,24.5,767,0.0028,2015-09-24 09:44,2015-09-22 16:20,0.7,0.8,37
7,36,32,24.5,767,0.0028,2015-09-24 09:52,2015-09-22 16:24,0.649999999999999,0.75,37
2,15,3,24.5,767,0.0028,2015-09-24 09:59,2015-09-22 16:26,0.65,0.875,36
9,21,24,24.5,767,0.0028,2015-09-24 10:02,2015-09-22 16:28,0.649999999999999,0.225,35
5,10,31,24.5,767,0.0028,2015-09-24 10:11,2015-09-22 16:29,0.65,1.375,37
10,18,2,24.5,767,0.0028,2015-09-24 10:20,2015-09-22 16:32,0.6,0.725,36
4,39,4,24.5,767,0.0028,2015-09-24 10:25,2015-09-22 16:33,0.700000000000001,0.75,37
12,40,11,24.5,767,0.0028,2015-09-24 10:32,2015-09-22 16:35,0.699999999999999,0.7,37
1,12,13,24.5,767,0.0028,2015-09-24 10:38,2015-09-22 16:38,0.699999999999999,0.850000000000001,37
