bod,wl,abs
1,190,0.337
1,191,0.356
1,192,0.06
1,193,-0.334
1,194,-0.369
1,195,-0.287
1,196,0.074
1,197,0.044
1,198,-0.181
1,199,-0.346
1,200,-0.443
1,201,-0.518
1,202,-0.563
1,203,-0.463
1,204,-0.099
1,205,-0.262
1,206,-0.517
1,207,-0.353
1,208,0.058
1,209,0.371
1,210,0.385
1,211,0.105
1,212,-0.162
1,213,-0.183
1,214,-0.014
1,215,0.392
1,216,0.481
1,217,0.317
1,218,0.165
1,219,0.155
1,220,0.215
1,221,0.216
1,222,0.239
1,223,0.222
1,224,0.232
1,225,0.24
1,226,0.24
1,227,0.241
1,228,0.243
1,229,0.241
1,230,0.237
1,231,0.233
1,232,0.228
1,233,0.223
1,234,0.219
1,235,0.216
1,236,0.212
1,237,0.208
1,238,0.204
1,239,0.201
1,240,0.197
1,241,0.195
1,242,0.194
1,243,0.192
1,244,0.19
1,245,0.186
1,246,0.186
1,247,0.186
1,248,0.185
1,249,0.183
1,250,0.18
1,251,0.179
1,252,0.178
1,253,0.173
1,254,0.171
1,255,0.169
1,256,0.169
1,257,0.168
1,258,0.168
1,259,0.169
1,260,0.168
1,261,0.166
1,262,0.164
1,263,0.162
1,264,0.161
1,265,0.158
1,266,0.157
1,267,0.156
1,268,0.153
1,269,0.152
1,270,0.151
1,271,0.151
1,272,0.15
1,273,0.148
1,274,0.146
1,275,0.145
1,276,0.142
1,277,0.14
1,278,0.138
1,279,0.137
1,280,0.135
1,281,0.133
1,282,0.131
1,283,0.129
1,284,0.127
1,285,0.125
1,286,0.123
1,287,0.122
1,288,0.121
1,289,0.119
1,290,0.116
1,291,0.113
1,292,0.112
1,293,0.111
1,294,0.11
1,295,0.108
1,296,0.106
1,297,0.105
1,298,0.103
1,299,0.101
1,300,0.099
1,301,0.097
1,302,0.096
1,303,0.095
1,304,0.095
1,305,0.094
1,306,0.092
1,307,0.089
1,308,0.088
1,309,0.087
1,310,0.086
1,311,0.084
1,312,0.082
1,313,0.081
1,314,0.08
1,315,0.08
1,316,0.079
1,317,0.077
1,318,0.076
1,319,0.075
1,320,0.073
1,321,0.073
1,322,0.072
1,323,0.071
1,324,0.07
1,325,0.068
1,326,0.068
1,327,0.067
1,328,0.066
1,329,0.065
1,330,0.063
1,331,0.062
1,332,0.061
1,333,0.061
1,334,0.06
1,335,0.059
1,336,0.057
1,337,0.056
1,338,0.056
1,339,0.056
1,340,0.056
1,341,0.055
1,342,0.054
1,343,0.052
1,344,0.051
1,345,0.051
1,346,0.05
1,347,0.05
1,348,0.049
1,349,0.049
1,350,0.048
1,351,0.047
1,352,0.045
1,353,0.044
1,354,0.044
1,355,0.043
1,356,0.044
1,357,0.043
1,358,0.042
1,359,0.042
1,360,0.041
1,361,0.041
1,362,0.04
1,363,0.039
1,364,0.039
1,365,0.038
1,366,0.039
1,367,0.038
1,368,0.038
1,369,0.036
1,370,0.035
1,371,0.036
1,372,0.036
1,373,0.035
