bod,wl,abs
1,190,0.163
1,191,0.148
1,192,-0.132
1,193,-0.16
1,194,-0.165
1,195,-0.154
1,196,0.308
1,197,0.321
1,198,0.466
1,199,0.634
1,200,0.371
1,201,0.323
1,202,0.182
1,203,-0.021
1,204,0.209
1,205,-0.026
1,206,-0.056
1,207,-0.055
1,208,-0.09
1,209,0.223
1,210,0.197
1,211,0.245
1,212,0.082
1,213,0.152
1,214,0.237
1,215,0.226
1,216,0.318
1,217,0.275
1,218,0.346
1,219,0.282
1,220,0.266
1,221,0.301
1,222,0.296
1,223,0.308
1,224,0.314
1,225,0.32
1,226,0.324
1,227,0.33
1,228,0.329
1,229,0.327
1,230,0.324
1,231,0.319
1,232,0.31
1,233,0.304
1,234,0.302
1,235,0.299
1,236,0.297
1,237,0.293
1,238,0.29
1,239,0.287
1,240,0.282
1,241,0.278
1,242,0.277
1,243,0.276
1,244,0.274
1,245,0.272
1,246,0.27
1,247,0.268
1,248,0.265
1,249,0.261
1,250,0.258
1,251,0.256
1,252,0.256
1,253,0.255
1,254,0.252
1,255,0.25
1,256,0.247
1,257,0.247
1,258,0.245
1,259,0.245
1,260,0.244
1,261,0.241
1,262,0.238
1,263,0.235
1,264,0.233
1,265,0.232
1,266,0.231
1,267,0.229
1,268,0.226
1,269,0.224
1,270,0.222
1,271,0.221
1,272,0.218
1,273,0.215
1,274,0.213
1,275,0.211
1,276,0.21
1,277,0.207
1,278,0.204
1,279,0.203
1,280,0.2
1,281,0.197
1,282,0.194
1,283,0.191
1,284,0.189
1,285,0.186
1,286,0.182
1,287,0.18
1,288,0.178
1,289,0.176
1,290,0.174
1,291,0.171
1,292,0.169
1,293,0.166
1,294,0.164
1,295,0.163
1,296,0.161
1,297,0.159
1,298,0.156
1,299,0.152
1,300,0.15
1,301,0.148
1,302,0.147
1,303,0.145
1,304,0.143
1,305,0.142
1,306,0.14
1,307,0.138
1,308,0.135
1,309,0.133
1,310,0.133
1,311,0.131
1,312,0.13
1,313,0.128
1,314,0.126
1,315,0.124
1,316,0.123
1,317,0.122
1,318,0.12
1,319,0.118
1,320,0.116
1,321,0.114
1,322,0.113
1,323,0.113
1,324,0.111
1,325,0.11
1,326,0.108
1,327,0.106
1,328,0.104
1,329,0.102
1,330,0.102
1,331,0.101
1,332,0.1
1,333,0.098
1,334,0.096
1,335,0.094
1,336,0.094
1,337,0.093
1,338,0.092
1,339,0.09
1,340,0.088
1,341,0.087
1,342,0.088
1,343,0.087
1,344,0.086
1,345,0.085
1,346,0.083
1,347,0.082
1,348,0.08
1,349,0.079
1,350,0.077
1,351,0.077
1,352,0.077
1,353,0.077
1,354,0.076
1,355,0.074
1,356,0.073
1,357,0.072
1,358,0.072
1,359,0.071
1,360,0.07
1,361,0.07
1,362,0.069
1,363,0.067
1,364,0.064
1,365,0.063
1,366,0.063
1,367,0.064
1,368,0.065
1,369,0.064
1,370,0.062
1,371,0.062
1,372,0.061
1,373,0.059
1,374,0.059
1,375,0.058
1,376,0.058
1,377,0.057
1,378,0.055
1,379,0.055
1,380,0.054
1,381,0.054
1,382,0.053
1,383,0.052
1,384,0.051
1,385,0.051
1,386,0.051
1,387,0.05
1,388,0.049
1,389,0.048
1,390,0.048
1,391,0.049
1,392,0.049
1,393,0.049
1,394,0.048
1,395,0.047
1,396,0.046
1,397,0.044
1,398,0.043
1,399,0.042
1,400,0.042
1,401,0.042
1,402,0.042
1,403,0.043
1,404,0.044
1,405,0.044
1,406,0.042
1,407,0.041
1,408,0.04
1,409,0.04
1,410,0.04
1,411,0.04
1,412,0.04
1,413,0.04
1,414,0.039
1,415,0.038
1,416,0.038
1,417,0.037
1,418,0.035
1,419,0.035
1,420,0.034
1,421,0.034
1,422,0.033
1,423,0.032
1,424,0.032
1,425,0.032
1,426,0.032
1,427,0.032
1,428,0.032
1,429,0.032
1,430,0.031
1,431,0.031
1,432,0.031
1,433,0.03
1,434,0.03
1,435,0.03
1,436,0.029
1,437,0.029
1,438,0.028
1,439,0.027
1,440,0.027
1,441,0.026
1,442,0.027
1,443,0.026
1,444,0.026
1,445,0.026
1,446,0.025
1,447,0.025
1,448,0.024
1,449,0.024
1,450,0.024
1,451,0.024
1,452,0.024
1,453,0.023
1,454,0.023
1,455,0.023
1,456,0.024
1,457,0.023
1,458,0.022
1,459,0.022
1,460,0.022
1,461,0.023
1,462,0.023
1,463,0.023
1,464,0.022
1,465,0.022
1,466,0.022
1,467,0.021
1,468,0.021
1,469,0.02
1,470,0.019
1,471,0.019
1,472,0.019
1,473,0.02
1,474,0.02
1,475,0.019
1,476,0.019
1,477,0.019
1,478,0.02
1,479,0.019
1,480,0.019
1,481,0.019
1,482,0.018
1,483,0.018
1,484,0.019
1,485,0.018
1,486,0.017
1,487,0.017
1,488,0.017
1,489,0.017
1,490,0.016
1,491,0.016
1,492,0.015
1,493,0.016
1,494,0.016
1,495,0.016
1,496,0.016
1,497,0.017
1,498,0.016
1,499,0.016
1,500,0.016
1,501,0.017
1,502,0.016
1,503,0.015
1,504,0.015
1,505,0.015
1,506,0.015
1,507,0.015
1,508,0.015
1,509,0.015
1,510,0.015
1,511,0.015
1,512,0.014
1,513,0.013
1,514,0.014
1,515,0.014
1,516,0.014
1,517,0.014
1,518,0.014
1,519,0.014
1,520,0.014
1,521,0.013
1,522,0.013
1,523,0.013
1,524,0.013
1,525,0.012
1,526,0.012
1,527,0.012
1,528,0.012
1,529,0.012
1,530,0.012
1,531,0.012
1,532,0.012
1,533,0.012
1,534,0.012
1,535,0.012
1,536,0.012
1,537,0.012
1,538,0.012
1,539,0.012
1,540,0.012
1,541,0.011
1,542,0.011
1,543,0.012
1,544,0.013
1,545,0.012
1,546,0.011
1,547,0.01
1,548,0.01
1,549,0.011
1,550,0.011
1,551,0.01
1,552,0.009
1,553,0.009
1,554,0.01
1,555,0.011
1,556,0.011
1,557,0.01
1,558,0.01
1,559,0.011
1,560,0.01
1,561,0.009
1,562,0.009
1,563,0.01
1,564,0.012
1,565,0.012
1,566,0.01
1,567,0.01
1,568,0.009
1,569,0.01
1,570,0.009
1,571,0.009
1,572,0.009
1,573,0.01
1,574,0.011
1,575,0.009
1,576,0.008
1,577,0.008
1,578,0.009
1,579,0.009
1,580,0.008
1,581,0.009
1,582,0.008
1,583,0.009
1,584,0.008
1,585,0.007
1,586,0.008
1,587,0.009
1,588,0.009
1,589,0.007
1,590,0.006
1,591,0.007
1,592,0.008
1,593,0.007
1,594,0.007
1,595,0.008
1,596,0.007
1,597,0.006
1,598,0.007
1,599,0.006
1,600,0.006
1,601,0.006
1,602,0.007
1,603,0.007
1,604,0.006
1,605,0.007
1,606,0.007
1,607,0.007
1,608,0.007
1,609,0.007
1,610,0.007
1,611,0.007
1,612,0.007
1,613,0.007
1,614,0.005
1,615,0.004
1,616,0.006
1,617,0.007
1,618,0.007
1,619,0.006
1,620,0.006
1,621,0.007
1,622,0.006
1,623,0.005
1,624,0.006
1,625,0.008
1,626,0.007
1,627,0.007
1,628,0.006
1,629,0.007
1,630,0.007
1,631,0.008
1,632,0.008
1,633,0.007
1,634,0.007
1,635,0.007
1,636,0.006
1,637,0.006
1,638,0.005
1,639,0.005
1,640,0.004
1,641,0.004
1,642,0.005
1,643,0.005
1,644,0.005
1,645,0.005
1,646,0.006
1,647,0.006
1,648,0.005
1,649,0.006
1,650,0.006
1,651,0.007
1,652,0.006
1,653,0.006
1,654,0.006
1,655,0.006
1,656,0.006
1,657,0.007
1,658,0.007
1,659,0.006
1,660,0.005
1,661,0.005
1,662,0.004
1,663,0.003
1,664,0.003
1,665,0.003
1,666,0.004
1,667,0.005
1,668,0.005
1,669,0.005
1,670,0.004
1,671,0.004
1,672,0.003
1,673,0.004
1,674,0.004
1,675,0.005
1,676,0.005
1,677,0.004
1,678,0.005
1,679,0.004
1,680,0.004
1,681,0.004
1,682,0.003
1,683,0.004
1,684,0.004
1,685,0.006
1,686,0.004
1,687,0.005
1,688,0.004
1,689,0.005
1,690,0.004
1,691,0.004
1,692,0.004
1,693,0.004
1,694,0.006
1,695,0.005
1,696,0.005
1,697,0.005
1,698,0.005
1,699,0.004
1,700,0.002
1,701,0.003
1,702,0.004
1,703,0.003
1,704,0.001
