bod,wl,abs
1,190,0.07
1,191,-0.028
1,192,-0.015
1,193,0.417
1,194,0.241
1,195,0.242
1,196,0.084
1,197,-0.085
1,198,0.085
1,199,0.164
1,200,0.261
1,201,0.366
1,202,-0.019
1,203,-0.246
1,204,-0.019
1,205,0.026
1,206,-0.031
1,207,-0.449
1,208,-0.735
1,209,-0.415
1,210,-0.057
1,211,0.215
1,212,0.334
1,213,0.062
1,214,-0.248
1,215,-0.281
1,216,-0.168
1,217,0.124
1,218,0.179
1,219,0.152
1,220,0.264
1,221,0.306
1,222,0.299
1,223,0.318
1,224,0.311
1,225,0.326
1,226,0.33
1,227,0.327
1,228,0.322
1,229,0.319
1,230,0.312
1,231,0.304
1,232,0.3
1,233,0.297
1,234,0.292
1,235,0.288
1,236,0.281
1,237,0.279
1,238,0.274
1,239,0.271
1,240,0.27
1,241,0.269
1,242,0.267
1,243,0.263
1,244,0.26
1,245,0.258
1,246,0.258
1,247,0.256
1,248,0.255
1,249,0.251
1,250,0.248
1,251,0.246
1,252,0.245
1,253,0.243
1,254,0.242
1,255,0.24
1,256,0.239
1,257,0.238
1,258,0.238
1,259,0.238
1,260,0.236
1,261,0.233
1,262,0.23
1,263,0.228
1,264,0.226
1,265,0.225
1,266,0.225
1,267,0.224
1,268,0.222
1,269,0.219
1,270,0.217
1,271,0.215
1,272,0.212
1,273,0.21
1,274,0.207
1,275,0.207
1,276,0.206
1,277,0.203
1,278,0.202
1,279,0.2
1,280,0.199
1,281,0.197
1,282,0.194
1,283,0.192
1,284,0.189
1,285,0.186
1,286,0.183
1,287,0.181
1,288,0.18
1,289,0.178
1,290,0.176
1,291,0.173
1,292,0.171
1,293,0.169
1,294,0.167
1,295,0.166
1,296,0.165
1,297,0.163
1,298,0.161
1,299,0.158
1,300,0.156
1,301,0.155
1,302,0.153
1,303,0.15
1,304,0.149
1,305,0.148
1,306,0.146
1,307,0.144
1,308,0.143
1,309,0.141
1,310,0.14
1,311,0.137
1,312,0.135
1,313,0.133
1,314,0.132
1,315,0.131
1,316,0.129
1,317,0.128
1,318,0.126
1,319,0.125
1,320,0.123
1,321,0.122
1,322,0.121
1,323,0.12
1,324,0.119
1,325,0.117
1,326,0.115
1,327,0.114
1,328,0.113
1,329,0.112
1,330,0.11
1,331,0.108
1,332,0.106
1,333,0.105
1,334,0.104
1,335,0.102
1,336,0.101
1,337,0.1
1,338,0.099
1,339,0.098
1,340,0.096
1,341,0.094
1,342,0.094
1,343,0.094
1,344,0.094
1,345,0.092
1,346,0.091
1,347,0.09
1,348,0.089
1,349,0.088
1,350,0.087
1,351,0.086
1,352,0.084
1,353,0.084
1,354,0.082
1,355,0.08
1,356,0.08
1,357,0.08
1,358,0.079
1,359,0.079
1,360,0.078
1,361,0.078
1,362,0.077
1,363,0.074
1,364,0.072
1,365,0.072
1,366,0.073
1,367,0.073
1,368,0.072
1,369,0.071
1,370,0.069
1,371,0.069
1,372,0.069
1,373,0.069
1,374,0.068
1,375,0.066
1,376,0.066
1,377,0.063
1,378,0.062
1,379,0.061
1,380,0.061
1,381,0.061
1,382,0.06
1,383,0.06
1,384,0.059
1,385,0.058
1,386,0.058
1,387,0.058
1,388,0.058
1,389,0.057
1,390,0.056
1,391,0.057
1,392,0.057
1,393,0.057
1,394,0.056
1,395,0.054
1,396,0.052
1,397,0.051
1,398,0.05
1,399,0.05
1,400,0.049
1,401,0.049
1,402,0.05
1,403,0.05
1,404,0.05
1,405,0.051
1,406,0.05
1,407,0.049
1,408,0.048
1,409,0.048
1,410,0.048
1,411,0.047
1,412,0.045
1,413,0.043
1,414,0.044
1,415,0.045
1,416,0.046
1,417,0.045
1,418,0.044
1,419,0.043
1,420,0.042
1,421,0.04
1,422,0.039
1,423,0.038
1,424,0.038
1,425,0.038
1,426,0.038
1,427,0.038
1,428,0.037
1,429,0.036
1,430,0.037
1,431,0.037
1,432,0.037
1,433,0.038
1,434,0.038
1,435,0.037
1,436,0.036
1,437,0.035
1,438,0.035
1,439,0.035
1,440,0.034
1,441,0.033
1,442,0.033
1,443,0.033
1,444,0.032
1,445,0.031
1,446,0.031
1,447,0.031
1,448,0.031
1,449,0.031
1,450,0.03
1,451,0.029
1,452,0.028
1,453,0.028
1,454,0.028
1,455,0.028
1,456,0.029
1,457,0.028
1,458,0.028
1,459,0.027
1,460,0.027
1,461,0.028
1,462,0.028
1,463,0.027
1,464,0.025
1,465,0.024
