Wavelength (nm),Absorbance,Title,Time
190,0.063,11S_05nov2015,11/19/2015 11:23:21 AM
191,0.229,,
192,0.218,,
193,0.092,,
194,-0.072,,
195,-0.097,,
196,0.208,,
197,0.229,,
198,0.209,,
199,0.049,,
200,-0.278,,
201,-0.37,,
202,-0.209,,
203,0.15,,
204,0.288,,
205,0.016,,
206,0.166,,
207,0.285,,
208,0.49,,
209,0.462,,
210,0.079,,
211,0.136,,
212,0.221,,
213,0.352,,
214,0.285,,
215,0.052,,
216,0.084,,
217,0.08,,
218,0.103,,
219,0.081,,
220,0.094,,
221,0.125,,
222,0.143,,
223,0.16,,
224,0.155,,
225,0.151,,
226,0.152,,
227,0.157,,
228,0.156,,
229,0.155,,
230,0.151,,
231,0.149,,
232,0.145,,
233,0.143,,
234,0.144,,
235,0.141,,
236,0.143,,
237,0.142,,
238,0.142,,
239,0.138,,
240,0.132,,
241,0.132,,
242,0.133,,
243,0.135,,
244,0.134,,
245,0.132,,
246,0.132,,
247,0.131,,
248,0.131,,
249,0.131,,
250,0.129,,
251,0.126,,
252,0.125,,
253,0.125,,
254,0.127,,
255,0.127,,
256,0.124,,
257,0.121,,
258,0.12,,
259,0.121,,
260,0.12,,
261,0.12,,
262,0.119,,
263,0.117,,
264,0.115,,
265,0.115,,
266,0.115,,
267,0.115,,
268,0.113,,
269,0.111,,
270,0.11,,
271,0.109,,
272,0.108,,
273,0.107,,
274,0.106,,
275,0.105,,
276,0.104,,
277,0.103,,
278,0.102,,
279,0.101,,
280,0.1,,
281,0.098,,
282,0.097,,
283,0.096,,
284,0.095,,
285,0.093,,
286,0.091,,
287,0.091,,
288,0.09,,
289,0.089,,
290,0.087,,
291,0.087,,
292,0.086,,
293,0.085,,
294,0.085,,
295,0.085,,
296,0.085,,
297,0.084,,
298,0.083,,
299,0.08,,
300,0.079,,
301,0.078,,
302,0.077,,
303,0.076,,
304,0.076,,
305,0.076,,
306,0.075,,
307,0.075,,
308,0.073,,
309,0.072,,
310,0.071,,
311,0.071,,
312,0.07,,
313,0.069,,
314,0.068,,
315,0.068,,
316,0.067,,
317,0.067,,
318,0.066,,
319,0.065,,
320,0.064,,
321,0.063,,
322,0.062,,
323,0.063,,
324,0.063,,
325,0.062,,
326,0.06,,
327,0.059,,
328,0.059,,
329,0.058,,
330,0.059,,
331,0.058,,
332,0.057,,
333,0.057,,
334,0.055,,
335,0.054,,
336,0.054,,
337,0.055,,
338,0.055,,
339,0.053,,
340,0.052,,
341,0.051,,
342,0.051,,
343,0.051,,
344,0.05,,
345,0.05,,
346,0.049,,
347,0.048,,
348,0.047,,
349,0.046,,
350,0.046,,
351,0.046,,
352,0.047,,
353,0.047,,
354,0.047,,
355,0.045,,
356,0.044,,
357,0.045,,
358,0.045,,
359,0.045,,
360,0.045,,
361,0.044,,
362,0.043,,
363,0.042,,
364,0.04,,
365,0.039,,
366,0.04,,
367,0.04,,
368,0.041,,
369,0.041,,
370,0.04,,
371,0.039,,
372,0.039,,
373,0.038,,
374,0.037,,
375,0.037,,
376,0.037,,
377,0.036,,
378,0.035,,
379,0.034,,
380,0.034,,
381,0.034,,
382,0.033,,
383,0.032,,
384,0.032,,
385,0.032,,
386,0.033,,
387,0.033,,
388,0.033,,
389,0.031,,
390,0.031,,
391,0.031,,
392,0.032,,
393,0.031,,
394,0.031,,
395,0.03,,
396,0.029,,
397,0.028,,
398,0.027,,
399,0.027,,
400,0.027,,
401,0.027,,
402,0.029,,
403,0.029,,
404,0.029,,
405,0.028,,
406,0.028,,
407,0.027,,
408,0.025,,
409,0.026,,
410,0.026,,
411,0.026,,
412,0.026,,
413,0.026,,
414,0.026,,
415,0.025,,
