Wavelength (nm),Absorbance,Title,Time
220,0.205,4L_22sept2015,10/15/2015 10:55:37 AM
221,0.258,,
222,0.271,,
223,0.252,,
224,0.25,,
225,0.257,,
226,0.266,,
227,0.271,,
228,0.27,,
229,0.268,,
230,0.263,,
231,0.253,,
232,0.246,,
233,0.243,,
234,0.24,,
235,0.236,,
236,0.229,,
237,0.223,,
238,0.22,,
239,0.217,,
240,0.216,,
241,0.216,,
242,0.216,,
243,0.214,,
244,0.209,,
245,0.205,,
246,0.204,,
247,0.205,,
248,0.203,,
249,0.201,,
250,0.197,,
251,0.195,,
252,0.195,,
253,0.192,,
254,0.192,,
255,0.19,,
256,0.19,,
257,0.189,,
258,0.187,,
259,0.187,,
260,0.186,,
261,0.185,,
262,0.181,,
263,0.179,,
264,0.176,,
265,0.174,,
266,0.174,,
267,0.174,,
268,0.172,,
269,0.169,,
270,0.168,,
271,0.167,,
272,0.166,,
273,0.162,,
274,0.16,,
275,0.158,,
276,0.158,,
277,0.156,,
278,0.153,,
279,0.151,,
280,0.149,,
281,0.148,,
282,0.146,,
283,0.143,,
284,0.14,,
285,0.139,,
286,0.137,,
287,0.134,,
288,0.132,,
289,0.13,,
290,0.128,,
291,0.126,,
292,0.125,,
293,0.123,,
294,0.121,,
295,0.12,,
296,0.119,,
297,0.118,,
298,0.115,,
299,0.112,,
300,0.11,,
301,0.109,,
302,0.108,,
303,0.107,,
304,0.105,,
305,0.104,,
306,0.101,,
307,0.1,,
308,0.098,,
309,0.097,,
310,0.095,,
311,0.093,,
312,0.094,,
313,0.093,,
314,0.091,,
315,0.09,,
316,0.089,,
317,0.088,,
318,0.087,,
319,0.084,,
320,0.082,,
321,0.081,,
322,0.082,,
323,0.081,,
324,0.079,,
325,0.077,,
326,0.076,,
327,0.075,,
328,0.075,,
329,0.075,,
330,0.073,,
331,0.072,,
332,0.07,,
333,0.069,,
334,0.07,,
335,0.069,,
336,0.069,,
337,0.067,,
338,0.066,,
339,0.064,,
340,0.064,,
341,0.063,,
342,0.062,,
343,0.061,,
344,0.06,,
345,0.059,,
346,0.059,,
347,0.059,,
348,0.058,,
349,0.056,,
350,0.055,,
351,0.054,,
352,0.054,,
353,0.054,,
354,0.053,,
355,0.051,,
356,0.05,,
357,0.05,,
358,0.05,,
359,0.049,,
360,0.048,,
361,0.048,,
362,0.047,,
363,0.046,,
364,0.045,,
365,0.044,,
366,0.045,,
367,0.045,,
368,0.043,,
369,0.042,,
370,0.041,,
371,0.041,,
372,0.041,,
373,0.04,,
374,0.04,,
375,0.038,,
376,0.037,,
377,0.037,,
378,0.037,,
379,0.037,,
380,0.037,,
381,0.037,,
382,0.036,,
383,0.035,,
384,0.033,,
385,0.032,,
386,0.032,,
387,0.032,,
388,0.031,,
389,0.031,,
390,0.031,,
391,0.031,,
392,0.032,,
393,0.032,,
394,0.033,,
395,0.032,,
396,0.029,,
397,0.027,,
398,0.026,,
399,0.026,,
400,0.026,,
401,0.025,,
402,0.026,,
403,0.026,,
404,0.026,,
405,0.026,,
406,0.026,,
407,0.027,,
408,0.025,,
409,0.025,,
410,0.025,,
411,0.025,,
412,0.024,,
413,0.024,,
414,0.024,,
415,0.024,,
416,0.023,,
417,0.022,,
418,0.022,,
419,0.021,,
420,0.021,,
421,0.02,,
422,0.02,,
423,0.019,,
424,0.019,,
425,0.018,,
426,0.018,,
427,0.019,,
428,0.018,,
429,0.019,,
430,0.018,,
431,0.018,,
432,0.018,,
433,0.018,,
434,0.018,,
435,0.018,,
436,0.018,,
437,0.017,,
438,0.016,,
439,0.016,,
440,0.016,,
441,0.016,,
442,0.016,,
443,0.015,,
444,0.015,,
445,0.014,,
446,0.014,,
447,0.014,,
448,0.014,,
449,0.014,,
450,0.014,,
451,0.013,,
452,0.014,,
453,0.013,,
454,0.013,,
455,0.013,,
456,0.013,,
457,0.013,,
458,0.012,,
459,0.011,,
460,0.012,,
461,0.012,,
462,0.012,,
463,0.012,,
464,0.012,,
465,0.011,,
466,0.011,,
467,0.012,,
468,0.011,,
469,0.01,,
470,0.008,,
471,0.009,,
472,0.009,,
473,0.01,,
474,0.012,,
475,0.01,,
476,0.01,,
477,0.009,,
478,0.009,,
479,0.009,,
480,0.009,,
481,0.009,,
482,0.008,,
483,0.009,,
484,0.01,,
485,0.01,,
486,0.009,,
487,0.008,,
488,0.009,,
489,0.009,,
490,0.008,,
491,0.008,,
492,0.008,,
493,0.008,,
494,0.008,,
495,0.007,,
496,0.007,,
497,0.007,,
498,0.007,,
499,0.008,,
500,0.008,,
501,0.008,,
502,0.008,,
503,0.008,,
504,0.008,,
505,0.007,,
506,0.006,,
507,0.004,,
508,0.006,,
509,0.008,,
510,0.008,,
511,0.007,,
512,0.006,,
513,0.006,,
514,0.007,,
515,0.007,,
516,0.006,,
517,0.006,,
518,0.005,,
519,0.006,,
520,0.006,,
521,0.006,,
522,0.005,,
523,0.005,,
524,0.005,,
525,0.005,,
526,0.004,,
527,0.004,,
528,0.004,,
529,0.004,,
530,0.004,,
531,0.004,,
532,0.004,,
533,0.004,,
534,0.004,,
535,0.004,,
536,0.004,,
537,0.004,,
538,0.004,,
539,0.004,,
540,0.003,,
541,0.003,,
542,0.003,,
543,0.004,,
544,0.004,,
545,0.004,,
546,0.004,,
547,0.004,,
548,0.003,,
549,0.002,,
550,0.002,,
551,0.003,,
552,0.003,,
553,0.003,,
554,0.002,,
555,0.003,,
556,0.003,,
557,0.003,,
558,0.003,,
559,0.002,,
560,0.003,,
561,0.003,,
562,0.004,,
563,0.003,,
564,0.002,,
565,0.001,,
566,0.001,,
567,0.003,,
568,0.004,,
569,0.003,,
570,0.002,,
571,0.003,,
572,0.003,,
573,0.003,,
574,0.002,,
575,0.001,,
576,0.001,,
577,0,,
578,0.001,,
579,0.001,,
580,0,,
581,0,,
582,0.001,,
583,0.002,,
584,0.001,,
585,0.001,,
586,0.001,,
587,0.001,,
588,0.002,,
589,0.002,,
590,0.001,,
591,0,,
592,-0.001,,
593,-0.001,,
594,-0.001,,
595,0,,
596,0.001,,
597,0.001,,
598,0,,
599,0.001,,
600,0.001,,
601,0.001,,
602,0.001,,
603,-0.001,,
604,0.001,,
605,0.001,,
606,0.001,,
607,0.001,,
608,0,,
609,0.001,,
610,0,,
611,0,,
612,-0.001,,
613,-0.001,,
614,0,,
615,0.001,,
616,0.001,,
617,0.001,,
618,0,,
619,-0.001,,
620,-0.002,,
621,-0.001,,
622,0,,
623,0.001,,
624,0.001,,
625,0,,
626,-0.001,,
627,0,,
628,0,,
629,0,,
630,-0.001,,
631,0,,
632,0,,
633,0,,
634,0,,
635,0,,
636,0,,
637,-0.001,,
638,-0.001,,
639,-0.001,,
640,-0.001,,
641,0,,
642,0,,
643,-0.001,,
644,-0.001,,
645,-0.003,,
646,-0.003,,
647,-0.002,,
648,0,,
649,0.001,,
650,0,,
651,-0.001,,
652,-0.002,,
653,-0.001,,
654,-0.002,,
655,-0.002,,
656,-0.002,,
657,-0.001,,
658,-0.001,,
659,-0.001,,
660,-0.002,,
661,-0.001,,
662,-0.001,,
663,0,,
664,0,,
665,0,,
666,-0.002,,
667,-0.002,,
668,-0.003,,
669,-0.001,,
670,-0.002,,
671,-0.002,,
672,-0.002,,
673,-0.002,,
674,-0.001,,
675,-0.002,,
676,-0.001,,
677,0,,
678,-0.001,,
679,-0.002,,
680,-0.002,,
681,-0.002,,
682,-0.003,,
683,-0.003,,
684,-0.003,,
685,-0.003,,
686,-0.003,,
687,-0.002,,
688,-0.001,,
689,-0.001,,
690,-0.002,,
691,-0.002,,
692,-0.003,,
693,-0.003,,
694,-0.003,,
695,-0.003,,
696,-0.003,,
697,-0.002,,
698,-0.002,,
699,-0.004,,
700,-0.003,,
701,-0.004,,
702,-0.005,,
703,-0.004,,
704,-0.003,,
705,-0.003,,
706,-0.002,,
707,-0.003,,
708,-0.003,,
709,-0.003,,
710,-0.002,,
711,-0.002,,
712,-0.004,,
713,-0.003,,
714,-0.001,,
715,-0.002,,
716,-0.003,,
717,-0.004,,
718,-0.002,,
719,-0.002,,
720,-0.003,,
721,-0.004,,
722,-0.003,,
723,-0.002,,
724,-0.003,,
725,-0.003,,
726,-0.003,,
727,-0.005,,
728,-0.004,,
729,-0.003,,
