Wavelength (nm)	Absorbance	Title	Time
190	0.416	4L_24sept2015	10/15/2015 10:39:18 AM
191	0.495		
192	0.177		
193	-0.164		
194	-0.298		
195	-0.28		
196	0.098		
197	0.165		
198	0.035		
199	-0.454		
200	-0.811		
201	-0.774		
202	-0.745		
203	-0.497		
204	-0.394		
205	-0.553		
206	-0.463		
207	-0.132		
208	0.504		
209	0.957		
210	0.78		
211	0.362		
212	-0.289		
213	-0.359		
214	-0.192		
215	0.093		
216	0.215		
217	0.063		
218	0.141		
219	0.166		
220	0.243		
221	0.274		
222	0.265		
223	0.242		
224	0.248		
225	0.26		
226	0.266		
227	0.265		
228	0.265		
229	0.262		
230	0.257		
231	0.25		
232	0.244		
233	0.241		
234	0.237		
235	0.233		
236	0.231		
237	0.226		
238	0.222		
239	0.217		
240	0.212		
241	0.212		
242	0.212		
243	0.209		
244	0.206		
245	0.202		
246	0.203		
247	0.204		
248	0.201		
249	0.198		
250	0.194		
251	0.193		
252	0.191		
253	0.187		
254	0.184		
255	0.184		
256	0.184		
257	0.183		
258	0.182		
259	0.182		
260	0.182		
261	0.181		
262	0.178		
263	0.175		
264	0.173		
265	0.171		
266	0.17		
267	0.169		
268	0.166		
269	0.165		
270	0.165		
271	0.165		
272	0.163		
273	0.16		
274	0.159		
275	0.158		
276	0.155		
277	0.152		
278	0.15		
279	0.149		
280	0.147		
281	0.145		
282	0.143		
283	0.141		
284	0.139		
285	0.137		
286	0.135		
287	0.133		
288	0.132		
289	0.13		
290	0.128		
291	0.125		
292	0.123		
293	0.122		
294	0.121		
295	0.119		
296	0.117		
297	0.115		
298	0.114		
299	0.111		
300	0.109		
301	0.107		
302	0.106		
303	0.105		
304	0.104		
305	0.103		
306	0.101		
307	0.099		
308	0.097		
309	0.097		
310	0.096		
311	0.094		
312	0.092		
313	0.091		
314	0.09		
315	0.089		
316	0.086		
317	0.085		
318	0.085		
319	0.083		
320	0.081		
321	0.08		
322	0.079		
323	0.079		
324	0.078		
325	0.077		
326	0.076		
327	0.075		
328	0.074		
329	0.072		
330	0.071		
331	0.07		
332	0.069		
333	0.069		
334	0.067		
335	0.066		
336	0.064		
337	0.064		
338	0.064		
339	0.064		
340	0.064		
341	0.062		
342	0.061		
343	0.059		
344	0.058		
345	0.058		
346	0.058		
347	0.057		
348	0.056		
349	0.055		
350	0.054		
351	0.053		
352	0.052		
353	0.052		
354	0.052		
355	0.051		
356	0.05		
357	0.05		
358	0.049		
359	0.049		
360	0.047		
361	0.048		
362	0.048		
363	0.047		
364	0.046		
365	0.044		
366	0.045		
367	0.044		
368	0.043		
369	0.042		
370	0.042		
371	0.042		
372	0.042		
373	0.04		
374	0.04		
375	0.039		
376	0.039		
377	0.038		
378	0.037		
379	0.037		
380	0.036		
381	0.036		
382	0.035		
383	0.035		
384	0.035		
385	0.033		
386	0.034		
387	0.035		
388	0.034		
389	0.032		
390	0.031		
391	0.032		
392	0.033		
393	0.032		
394	0.031		
395	0.031		
396	0.031		
397	0.029		
398	0.028		
399	0.027		
400	0.026		
401	0.026		
402	0.026		
403	0.027		
404	0.027		
405	0.027		
406	0.027		
407	0.027		
408	0.026		
409	0.026		
410	0.026		
411	0.025		
412	0.025		
413	0.024		
414	0.024		
415	0.025		
416	0.025		
417	0.024		
418	0.023		
419	0.023		
420	0.022		
421	0.022		
422	0.021		
423	0.021		
424	0.022		
425	0.021		
426	0.021		
427	0.02		
428	0.02		
429	0.02		
430	0.02		
431	0.02		
432	0.02		
433	0.019		
434	0.019		
435	0.019		
436	0.019		
437	0.018		
438	0.018		
439	0.018		
440	0.017		
441	0.018		
442	0.017		
443	0.017		
444	0.018		
445	0.018		
446	0.017		
447	0.016		
448	0.016		
449	0.016		
450	0.016		
451	0.016		
452	0.016		
453	0.016		
454	0.015		
455	0.015		
456	0.015		
457	0.015		
458	0.015		
459	0.014		
460	0.014		
461	0.014		
462	0.014		
463	0.014		
464	0.013		
465	0.013		
466	0.014		
467	0.014		
468	0.013		
469	0.013		
470	0.013		
471	0.013		
472	0.013		
473	0.012		
474	0.012		
475	0.011		
476	0.011		
477	0.011		
478	0.011		
479	0.012		
480	0.012		
481	0.011		
482	0.011		
483	0.011		
484	0.012		
485	0.012		
486	0.012		
487	0.012		
488	0.011		
489	0.011		
490	0.01		
491	0.01		
492	0.01		
493	0.011		
494	0.01		
495	0.01		
496	0.01		
497	0.01		
498	0.01		
499	0.011		
500	0.01		
501	0.009		
502	0.01		
503	0.01		
504	0.01		
505	0.01		
506	0.008		
507	0.008		
508	0.009		
509	0.009		
510	0.009		
511	0.008		
512	0.008		
513	0.009		
514	0.009		
515	0.009		
516	0.009		
517	0.009		
518	0.009		
519	0.008		
520	0.008		
521	0.007		
522	0.007		
523	0.006		
524	0.006		
525	0.007		
526	0.007		
527	0.007		
528	0.007		
529	0.008		
530	0.008		
531	0.008		
532	0.008		
533	0.007		
534	0.007		
535	0.007		
536	0.008		
537	0.007		
538	0.007		
539	0.006		
540	0.006		
541	0.006		
542	0.006		
543	0.006		
544	0.006		
545	0.006		
546	0.006		
547	0.005		
548	0.006		
549	0.006		
550	0.005		
551	0.004		
552	0.004		
553	0.005		
554	0.006		
555	0.005		
556	0.005		
557	0.005		
558	0.005		
559	0.006		
560	0.006		
561	0.005		
562	0.005		
563	0.005		
564	0.005		
565	0.004		
566	0.003		
567	0.003		
568	0.003		
569	0.004		
570	0.004		
571	0.004		
572	0.005		
573	0.004		
574	0.004		
575	0.003		
576	0.003		
577	0.003		
578	0.004		
579	0.005		
580	0.004		
581	0.003		
582	0.002		
583	0.003		
584	0.004		
585	0.003		
586	0.003		
587	0.004		
588	0.005		
589	0.005		
590	0.004		
591	0.004		
592	0.003		
593	0.003		
594	0.004		
595	0.003		
596	0.003		
597	0.003		
598	0.003		
599	0.004		
600	0.003		
601	0.002		
602	0.002		
603	0.002		
604	0.003		
605	0.003		
606	0.004		
607	0.005		
608	0.005		
609	0.004		
610	0.003		
611	0.003		
612	0.003		
613	0.003		
614	0.003		
615	0.004		
616	0.004		
617	0.003		
618	0.003		
619	0.002		
620	0.002		
621	0.002		
622	0.001		
623	0.002		
624	0.003		
625	0.004		
626	0.002		
627	0.002		
628	0.001		
629	0.002		
630	0.001		
631	0.001		
632	0.002		
633	0.002		
634	0.001		
635	0.002		
636	0.003		
637	0.003		
638	0.002		
639	0.003		
640	0.004		
641	0.004		
642	0.003		
643	0.002		
644	0.002		
645	0.001		
646	0.001		
647	0.001		
648	0.001		
649	0		
650	0		
651	0		
652	0.002		
653	0.003		
654	0.003		
655	0.002		
656	0		
657	0		
658	0.001		
659	0.002		
660	0.002		
661	0.002		
662	0.002		
663	0.002		
664	0.003		
665	0.002		
666	0.001		
667	0.001		
668	0.001		
669	0.001		
670	0		
671	0.001		
672	0.001		
673	0.001		
674	0.002		
675	0.002		
676	0.002		
677	0.001		
678	0		
679	0.003		
680	0.003		
681	0.003		
682	0.002		
683	0		
684	-0.001		
685	-0.001		
686	0.001		
687	0.001		
688	0		
689	0.001		
690	0.001		
691	0		
692	0.001		
693	0.001		
694	0.001		
695	0		
696	0.002		
697	0.002		
698	0.003		
699	0.002		
700	0.001		
701	0.001		
702	0.001		
703	0		
704	0.001		
705	0.001		
706	0.002		
707	0.002		
708	0.001		
709	0		
710	0.001		
711	0.002		
712	0.002		
713	0.002		
714	0.001		
715	0		
716	0		
717	0.001		
718	0		
719	0.001		
720	0.001		
721	0.001		
722	0		
723	0.001		
724	0.001		
725	0		
726	-0.001		
727	0		
728	0.001		
729	0.001		
730	0		
731	0.002		
732	0.002		
733	0		
734	-0.002		
735	-0.001		
736	0.002		
737	0.003		
738	0.001		
739	0		
740	0.001		
741	0.002		
742	0.001		
743	-0.002		
744	0		
745	0		
746	0.002		
747	0		
748	-0.002		
749	-0.003		
750	0		
751	0.002		
752	0.001		
753	-0.001		
754	-0.002		
755	0		
756	0.002		
757	0.002		
758	0		
759	0.001		
760	0.003		
761	0.002		
762	-0.001		
763	-0.002		
764	-0.001		
765	-0.001		
766	-0.001		
767	0		
768	0		
769	-0.003		
770	-0.001		
771	0		
772	0.001		
773	0.001		
774	-0.001		
775	-0.004		
776	0		
777	0.001		
778	-0.003		
